,별점,내용,작성일,공감,비공감
927,1,진짜 웬만하면 영화 다보고 나오는데 친구3명이랑 그냥 중간에 보다가 나온 영화  그냥 미생을 영화로 만드는게 더 명작일듯,2020.11.16,1,0
928,1,초반엔 기대를 갖고 보게하지만 끝으로 갈수록 개연성없고 유치함의 끝을 달립니다 나중엔 헛웃음 밖에 나오질않아요 뇌세포가 죽는느낌은 오랫만이였습니다,2020.11.16,1,0
929,2,뻔한 스토리에 뻔한결말.. 중간에 개연성 하나없는 스토리..  반전요소들도 그냥 쏘쏘..,2020.11.15,1,0
930,1,삼류 한국 영화의 현실이 고스란히 보인다,2020.11.15,1,0
931,1,1개주기도 아까운영화 돈받고 봐도 아까움 감상 포인트 한개도없음,2020.11.15,1,0
932,2,c급 영화 억지 노잼 평점은 조작임 폐미임?,2020.11.15,1,0
933,8,유리천장과 불의에 대항하는 여직원들..,2020.11.15,1,0
934,3,허삼관 이후로 오랜만에 언제끝날지 고통스러웠던 영화..스토리도 진부하고 개그코드도..,2020.11.14,1,0
935,6,"볼만 함. 단, 유치한 장면 몇개만 빼줬더라면 하는 아쉬움이..",2020.11.14,1,0
936,10,코로나만 아니면 써니급이요!!넘나재밌어용~,2020.11.14,1,0
937,10,기대하고 봤는데 기대한 만큼 재밌었습니다 ㅠㅠ! 최고 최고 ...,2020.11.14,1,0
938,10,넘나 좋은것 흥하세요 강력추천,2020.11.14,1,0
939,4,"몇몇 배우들이 연기를 잘하는데(특정배우만, 나머지는 서름 돋을 정도로 어색)  그거말고는.. 스토리.. 전개, 미장센등이 어색하고, 뭘말하고 싶은지 준구난방인 영화.. 마지막에 마무리 장면은 온갖세포들이 오그라들정도...",2020.11.14,1,0
940,6,,2020.11.12,1,0
941,6,재밌긴한데 9점대까진 아닌것같아요,2020.11.11,1,0
942,7,당시의 시대상을 그려내서 좋았지만 마지막 마무리는 너무 뻔했다.,2020.11.10,1,0
943,7,영화 초반에는 재밌었지만 거의 마지막에 약간의 억지스러움? 이 아쉽다. 그래도 2020년 테넷 다음으로 재밌었다,2020.11.10,1,0
944,6,소재는 나쁘지 않은데 연출이나 전개가 유치한 감이 있습니다 킬링타임용 영화입니다.,2020.11.08,1,0
945,10,,2020.11.08,1,0
946,10,,2020.11.08,1,0
947,10,간만에 넘 재밌고 탄탄한 영화여서 좋았어요!!! 연기도 짱ㅎㅎㅎㅎ,2020.11.08,1,0
948,10,"You can speak, I can speak, We can speak!",2020.11.08,1,0
949,10,너가 정말 하고 싶은 일을 해,2020.11.08,1,0
950,6,세 배우들의 케미와 조연 배우들의 연기까지 상당히 만족스럽다.,2020.11.08,1,0
951,10,완전 재밌어요 ㅜ ㅜ 오랜만에 영화같은 영화 보았어요,2020.11.08,1,0
952,10,간만에 보는 웰메이드 영화였습니다!,2020.11.08,1,0
953,7,박혜수 너무 귀엽다. 내꺼하자,2020.11.08,1,0
954,10,"2020년 본 영화 중에 제일 재미있게 본 것 같아요~!스토리, 영상미 너무 좋았어요사실 고아성 배우분은 워낙 연기 잘하셔서 크게 생각을 안했는데이솜님 짱이에요...얼굴 너무 예쁘고 연기 찰떡이에요좋은 영화 만들어주...",2020.11.08,1,0
955,10,예전 한국사회 뼈를 때리는 영화ㅠ 근데 아직도 바뀌지않은 한국..,2020.11.08,1,0
956,10,생각보다 너무 짜임새가 있어서 재밌었고 그시대의 감성이나 노래 등을 보는 것도 좋았어요ㅋㅋ 연기도 훌륭했습니다.,2020.11.08,1,0
957,10,,2020.11.08,1,0
958,6,"9점대 평점 진짜 최선이가.,?",2020.11.08,1,0
959,4,박평식 형님이 평가를 안하신 이유가 있었네..영화로 시작해서 청춘드라마로 끝나는관객이 상처받는 영화.,2020.11.08,1,0
960,5,노잼입니다.. ㅎㅎㅎ잤음,2020.11.08,1,0
961,10,믿고 보는 여성영화 최고 너무너무 재밌어요 강추 ♥,2020.11.08,1,0
962,10,연기 짱짱 돈 아깝지 않은 영화,2020.11.08,1,0
963,10,기대 없이 본 영화 였는데 공감 가는 내용도 많고 재밌게 봤어요,2020.11.08,1,0
964,10,부모님과 함께 봤는데 향수도 자극되고 잔잔하게 보기 좋은 영화였습니다,2020.11.08,1,0
965,10,간만에 본 유쾌하고 착한 영화^^,2020.11.08,1,0
966,10,재미 슬픔 감동 다 있는 영화 여자 주인공들 너무 멋있어요 우먼파워또 보고싶어요ㅠㅠ,2020.11.08,1,0
967,10,경제인구 ㅎㅎ로써 인생 적절 시기에 보게되어 큰 위로를 받았네요! 좋은 영화 감사합니다,2020.11.08,1,0
968,1,,2020.11.07,1,0
969,9,소소하게 재밌게 잘 봤어요!,2020.11.07,1,0
970,9,세 여주의 케미가 돋보였음다 ^^,2020.11.07,1,0
971,1,높은 평점이 이해가 안 될 정도로 지루하고 유치하고 비현실적인 스토리였다 ㅠㅠ,2020.11.07,1,0
972,10,근래에 본 영화중에 제일 재밌습니다!,2020.11.07,1,0
973,10,뻔할 수도 있겠다 생각했는데 적당한 반전이 좋았다.무겁고 진지하게 갈 수도 있던 내용을 가볍게 풀어나간 점이 영화를 보는 관람객으로 하여금 불편함이 없어 올해 본 영화 중 가장 만족스러움!,2020.11.07,1,0
974,10,웃기고 통쾌하고 답답함이 없고 시원시원한 스토리에 만점을줍니다,2020.11.07,1,0
975,10,꼭 보세요 이거 반전도 반전이고 근래 봤던영화중에 가장시원했습니다,2020.11.07,1,0
976,7,"전체적으론 괜찮았는데 ""노!!!"",""위 아 그레이트!""장면은 진짜 오글거려서 눈 감았음",2020.11.07,1,0
977,10,기대안하고 봤는데 너무 재밌었어요!!배우들의 연기 정말 멋있고 좋고 내용도 억지스럽지 않으면서 적당히 감동도 있고 좋았습니다! 어제는 친구랑 봤는데 엄마 모시고 가서 또 보려구요 재밌게 잘봤습니다,2020.11.07,1,0
978,10,너무 재밌네요!2020년 본 영화 중 최고였음,2020.11.07,1,0
979,4,기대안했는데도 불구하고 지루함이 몰려오는 영화,2020.11.07,1,0
980,4,정말 오글거립니다. 이영화가 왜 평점이 높은지 도무지 이해할수가없습니다. 정말 오글거리고 .. 근래들어 봣던 영화중 최악입니다. 보다가 나오고 싶었습니다.,2020.11.06,1,0
981,4,9점까진.. ㅋㅋ 왜높은건지,2020.11.06,1,0
982,10,울기도 많이 울었던 영화. 기본적으로 배우들간의 캐미가 너무 좋았어요. 심보람 역의 박혜수 배우님의 반짝거리는 연기가 좋았습니다. 응원할게요!,2020.11.05,1,0
983,10,박혜수 사랑해요 연기가 사랑스러움,2020.11.05,1,0
984,4,막 친찬일색일정도는 아닌.. 그냥 그런 영화,2020.11.05,1,0
985,4,왜 평점이 높은지 잘 모르겠다 너무 오그라들고 뻔하다 딱 6점댜 영화다 명심해,2020.11.05,1,0
986,4,"그냥 너무 평범하고 특별한 포인트가 전혀 없는 영화던데, 평점이 왜이리 높은걸까요?",2020.11.05,1,0
987,1,긴박감 있는 소재를 어떻게 밋밋하게 요리 할 수 있는지 보여준 대단한 영화.,2020.11.05,1,0
988,6,90년대 풍경+여배우들 귀여움 보는 소소한 재미로 봤어요 특히 이솜씨가 메이크업이나 악세사리 부분에서 90년대 무드를 잘살린것 같아요 귀여움상으로 봤는데 다시봤어요 스토리는 좀 시트콤스러운 부분이 있어서 개연성이 떨...,2020.11.05,1,0
989,1,,2020.11.05,1,0
990,1,굉장히 오그라드네요 영화가,2020.11.04,1,0
991,8,재미있지도 재미없지도 않은..그래도 볼만했던~,2020.11.04,1,0
992,6,영화전체의 흐름 구성은 잘만들었다고 합니다..하지만 막판의 한국특유의 ''권선징악''결말은 유치하게 느껴졌습니다.결국 직원들이 승리한다는것도 피식하게되는게 오늘날 우리는 그들이 2년뒤 모...,2020.11.04,1,0
993,2,이게 왜 평점이 9점대인지 모르겠어요평점 높은영화 중에 내인생 최악의 영화였어요.진심입니다 끝까지 버텨봤는데 절대 9점짜리 영화가 아니였습니다,2020.11.04,1,0
994,10,어디 여자가← 라는 한국감성을 깨부수는 영화,2020.11.04,1,0
995,10,이거 꼭 보세요 극장에서 3번봤습니다,2020.11.04,1,0
996,2,알바를 얼마나 푼거여?재미도 감동도 없고 오글거리는거밖에기억이 안남..,2020.11.04,1,0
997,1,기대안한그대로임,2020.11.04,1,0
998,1,진짜 평점 9점짜리 영화 절대 아님,2020.11.03,1,0
999,4,망국 재앙의 시대의 선동,2020.11.03,1,0
1000,2,고만고만한스토리. 어른들좋아할코드. 요즘세대들이이해못할.,2020.11.03,1,0
1001,4,시사하는 바는 좋으나 스토리의 허접성이 보임. 큼직한 내용만 이해가고 개연성이 높진 않다. 아직도 이해 안가는 부분 꽤나 있음. 캐릭터의 개성이 좋았음 근데 베테랑 처럼 시원한 느낌이 아니라 그냥 억지로 정의로운 척...,2020.11.03,1,0
1002,6,용두사미. 영화 중반까지는 흥미진진 유쾌하게 보다가 후반부터 소름끼치게 유치해짐.,2020.11.03,1,0
1003,2,그시절 볼거리는 많아 추억에 잠길 수 있지만 스토리는 완전 유치합니다. 억지스러워요,2020.11.03,1,0
1004,6,무난한 내용 뻔하지만 벨런스있는 캐릭터들 하지만 임펙트가 없이 밍숭맹숭하게 지루해지는 연출90년대 감성 표현이 나쁘지 않지만 그렇다고 그걸 잘살린 내용은 크게 와닿지 않다.90년대 감성 여성 판타지 직장 드라마.정겹...,2020.11.02,1,0
1005,7,신파와코믹이적절하게섞인영화...평점은7.8점주고싶다,2020.11.02,1,0
1006,1,평점 높아서 한번봤는데 개노잼임,2020.11.02,1,0
1007,2,제목이랑 내용이랑 뭔 상관인지..보고나서도 이해가 안 되네요,2020.11.02,1,0
1008,7,100분 동안 견고하게 쌓아오던 성벽을 마지막 10분이 오글거림으로 무너뜨려버림,2020.11.02,1,0
1009,4,오랜만에 극장가서 설레였는데 내용이 좀 시시해요..,2020.11.02,1,0
1010,2,한국영화의 현주소. 후반부엔 오그라들어 못볼정도,2020.11.02,1,0
1011,6,간만에 평점에 속았습니다..초딩들이 보면 좋아할수도 있겠네요 너무 기대하심 안됩니다.,2020.11.01,1,0
1012,6,초등딸11살인데 같이봐도 될까요?,2020.11.01,1,0
1013,2,꼭보세요!!! 개꿀잼~~~,2020.11.01,1,0
1014,6,초반에 재밌게 보다가 뒤로갈수록 억지반전에 오글거리는 연출로 바뀌면서 재미가 반감됨,2020.11.01,1,0
1015,6,글쎄 재미있고 기분좋게 봤습니다만... 현실성 없는게 영화라지만 완전 현실성 없어요...특히 엔딩은 뭐라 할말이 없습니다,2020.11.01,1,0
1016,4,고구마만 먹다 체한듯...,2020.11.01,1,0
1017,6,지루합니다. 살짝 졸았어요,2020.11.01,1,0
1018,2,환경을 이용한 대기업 프레임 씌우기,2020.11.01,1,0
1019,6,솔직히 그냥 그랬음 평범한 3류 영화 킬링타임,2020.11.01,1,0
1020,1,"실점은 5점 주고싶네요 평점조작 맞출라고 1점 줬구요, 전형적인 양산형 한국영화로 올해개봉작 중에선 꽤 볼만했지만 어거지 전개와 급발진 결말이었습니다",2020.11.01,1,0
1021,10,삼진그룹영어토익반 짱 화이팅,2020.11.01,1,0
1022,10,이런 영화 좋다..기억에 남는 말은 #새키~,2020.11.01,1,0
1023,10,90년대의 시대상에 맞는 여러 설정들과 스타일링 등이 관람의 또 다른 재미요소였습니다. 제목이 좀 의아했는데 영화 내용 자체는 크게 호불호 갈리지 않고 무난하게 재밌게 볼 수 있는 거 같아 추천입니다. 또 집에 와서...,2020.11.01,1,0
1024,10,,2020.11.01,1,0
1025,8,분노가 없는 잘 만든 영화. 요즘 나오는 영화들 보면 감독부터 등장인물들까지 뭔가 알 수 없는 분노에 가득차 있는 경우가 많은데 이 영화에 나오는 등장인물들은 현실에 슬퍼하기도 하고 화내기도 하고 순응하기도 하면서 ...,2020.11.01,1,0
1026,10,,2020.11.01,1,0
1027,10,,2020.11.01,1,0
1028,10,별생각없이 편안하게  보다가 나중에 반전이 확~~,2020.11.01,1,0
1029,8,저 시대 남성들이 싼 똥을 왜 지금 90년대생 남자들이 욕먹고 치우는건지.. 참...억울하기도 하고,2020.11.01,1,0
1030,10,반복되지 않아야 될 페놀 사건을  시대적인 상황과 어울린 스토리가 좋았습니다.,2020.11.01,1,0
1031,10,관람객이 생각보다 너무 작아서 안타까운 영화...,2020.11.01,1,0
1032,10,,2020.11.01,1,0
1033,10,,2020.11.01,1,0
1034,10,유쾌하고 귀여운 영화에요!,2020.11.01,1,0
1035,10,,2020.11.01,1,0
1036,10,,2020.11.01,1,0
1037,10,영화의 교훈은 존버해서 대리를 다는 것인가,2020.11.01,1,0
1038,10,,2020.11.01,1,0
1039,8,오랜만에 좋은 스토리 영화였어요. 여자들이 주인공이지만 남자들과도 협력하는 부분들이 더 맘에들었어요. 함께 살아가는 삶이니까요?? 서론이 조금 긴 편이었지만 오랜만에 기분좋게 재밌게 본 영화였습니다!,2020.11.01,1,0
1040,10,솔직히 홍보 너무 많이 해서 처음 내용은 익숙.하지만 정말 반전의 반전의 반전 + 감동!!!이솜 고아성 박혜수 모두 연기 너무 잘함!올해 본 영화 중 최고 재밌는 영화! 주변에 추천중..,2020.11.01,1,0
1041,6,다 좋고 재미는 있는데 마지막에 지렁이 합창할때 좀 소름돋았어요 갑자기 유치해짐...,2020.11.01,1,0
1042,7,전반적으로 연출력이 부족한 것 같음. 군데군데 매끄럽지 못하고 아쉬운 부분 많음. 어떻게 사람이 자기 아픈 것만 알아요. Macallan.,2020.11.01,1,0
1043,6,그냥 볼만한 영화~~ 90년대 감성을 살리려고 했지만 뭔가가 부족함...,2020.10.31,1,0
1044,10,너무 재밌고 기대안하고봤는데 너무 가볍지않고 좋았어요,2020.10.31,1,0
1045,10,진짜 너무 재밌음 !-!  오랜만에 띵작 나와서 좋았어유,2020.10.31,1,0
1046,10,웃음도 눈물도 있는 영화. 그 시절 20대를 살았던 엄마랑 둘이 너무 재밌게 봤습니다!!,2020.10.31,1,0
1047,10,댓글알바아닌거 장담하도 답니다 2020 년 하반기최고의 영화 !! 꼭영화관에서보세영 !!,2020.10.31,1,0
1048,10,연출이 살짝 지루했는데기대없이 봐서 그런지 나름 재미있게 봤어요,2020.10.31,1,0
1049,9,혼자가 아닌 함께여서 아름다웠다 그걸로 이 영화는 모든 걸 했다.,2020.10.31,1,0
1050,10,기대없이 봤는데 재밌었어요,2020.10.31,1,0
1051,10,너무 재미있게 봤습니당!!!,2020.10.31,1,0
1052,10,야. 나를 보지말고 너를 봐~!,2020.10.31,1,0
1053,10,이솜은 처음봤을때는 잘 몰랏는데 보면볼수록 예쁜듯;그만좀 예뻐라.,2020.10.31,1,0
1054,10,너무 재밌었어요ㅜㅜㅜ 또 볼거에요,2020.10.31,1,0
1055,10,"보면서 너무 행복했어요 울고 웃고 다했네요,,, 배우님들 사랑합니다 ㅠㅠ",2020.10.31,1,0
1056,10,너무재밌엇어여 이시기인게 너무안타까움..ㅠㅠ 관객 훨씬많앗어야될영화.. 너무재밌게본영화,2020.10.31,1,0
1057,10,연기력좋고 의미있는 영화,2020.10.31,1,0
1058,1,평점 왜케 높은지 모르겠네요 내용 예상 다 가능하고 졸면서 봤습니다 뭔가 반전 주려구 한건진 모르겠는데 그냥 잔잔했네요,2020.10.31,1,0
1059,10,스토리도 좋고 캐릭터들도 개성있게 매력넘치고 연기들도 쏘굿 추천추천,2020.10.31,1,0
1060,7,"박혜수가 너무 귀욥... 가끔은 오글거리는 장면도 있었지만 아기자기하니 볼만했습니다. 타일러, 형이 여기서 왜나와..?ㅋㅋㅋㅋ 반가웟어요",2020.10.31,1,0
1061,10,너무재밌게봤어요 추천추천!,2020.10.31,1,0
1062,10,직장인 동화!! 그 시대에 이런 동화가 가능했을까?,2020.10.31,1,0
1063,9,"재밌게 봤다. 근데 보고 나와서 기억나는 것은 썁썁년뿐,,꿈에서까지 나옴...이 썁썁년아!!!",2020.10.31,1,0
1064,9,시간가는줄 모르고 잼께 봣어여권선징악 결론이라 더 좋네여~~,2020.10.31,1,0
1065,10,나... 이자영언니 사랑하는 듯 너무 재밌어요 또 보고싶음,2020.10.31,1,0
1066,10,"와 진짜 이렇게 탄탄한구성에 연기도 잘하고 재밌게 본 영화 오랜만!!!! 꼭보세요,  감히 말하자면 삼진그룹영어토익반 이 기생충보다 훨 작품성있고 재밌음주조연배우들이 하나같이 진짜 연기",2020.10.31,1,0
1067,10,진짜 인생영화... 너무 재밌었어요 ㅠㅠ,2020.10.31,1,0
1068,10,진짜 살면서 본 소시민 히어로극 중에 제일 귀엽고 따뜻하고 ㅠㅠㅠ힐링됐어요,2020.10.31,1,0
1069,1,쓰레기영화 평점1점 ㅇㅇ,2020.10.31,1,0
1070,10,나는 작지만 우리는 강하다,2020.10.31,1,0
1071,10,아무런 정보없이 봤는데 정말 후회하지 않은 영화였어요~!!,2020.10.31,1,0
1072,10,연기 스토리 연출 다 좋았어요웃긴 포인트도 생각보다 많았어요,2020.10.31,1,0
1073,10,감동 있고 의미 있고 재미 넘치고 통쾌한 영화 잘 봤습니다.No Impossible !작은 개미들도 힘을 합치면 커지고 소중하다.Love Yourself !회계부 보람이네 부장님의 따뜻함이 인상 깊었다.,2020.10.31,1,0
1074,10,진짜 재밌어요 웰메이드 영화!,2020.10.31,1,0
1075,9,지루하지 않은 스토리 매력 있는 캐릭터들웃기도 하고 울기도 했네요다만 후반부 해결씬이 조금 오글거렸어요,2020.10.31,1,0
1076,10,"그냥 보면됨. 정말 감동과 그상황에 시대적 아쉬움, 슬픔, 희열 ... 여러가지가 섞여있는 정말 돈주고 보기 좋은 영화!!!  보고나서 이틀뒤에 예매해서 또 봤습니다.... 진짜 강추!!!",2020.10.31,1,0
1077,10,"아,,영화 진짜 기대안하고 봤는데 재밌네요 스토리도 탄탄하고 좀 슬프기도했다가 통쾌하기도 하고 간만에 즐거운 영화 잘 봤습니다",2020.10.31,1,0
1078,10,연기 구멍 없어서 편안히 시청했고 오랜만에 영화관가서 좋았음,2020.10.31,1,0
1079,4,"실화의 배경만 있을 뿐 스토리는 허구인 영화, 여성 중심에 여성은 피해만 받고 살아왔다를 내포한 영화...여성 비율66%인 이유가 있다. 영혼 팔아주기의 연장선",2020.10.31,1,0
1080,10,연대에 관한 이야기. 배우들 연기도 너무 좋았어요. 잘봤습니다!,2020.10.31,1,0
1081,2,노잼 7.5점정도 평점조절하자,2020.10.31,1,0
1082,10,유치한 면도 있지만 재밌어요!!!,2020.10.31,1,0
1083,2,너무 뻔한 스토리에 어디서 봤을법한 느낌의 영화던데 ...,2020.10.31,1,0
1084,10,한 사람의 노력이 모든것을 바꾼다.,2020.10.31,1,0
1085,10,재미와 감동 다 있어요.그시절이 생각나 추억에  잠기기도,2020.10.31,1,0
1086,10,"배우들의 연기, 스토리 그냥 다 좋다. 감독과 배우들의 인터뷰를 보고나니 더 좋아진듯! 오랜만에 기분좋게 볼 수 있었던 영화",2020.10.31,1,0
1087,10,정말 좋아하는 배우 이솜님이 나와서 봤는데고아성 박혜수 배우도 연기 너무 잘하고 케릭터도 너무 잘 살려서 시간가는줄 모르고봤네요스토리도 탄탄하고 중간중간 배우들의 위트있는 연기 그리고 90년대 향수를 불러 일으키는 ...,2020.10.31,1,0
1088,10,조금 뻔할거다라고 생각하고갔는데 너무 예상과 빗나가서 두시간내내 재밌게보다왓습니다 너무재밌어요! 근래에본것중 가장 2시간내내 집중했었던것같습니다 강추입니다:)!,2020.10.31,1,0
1089,10,중간에 눈물도 날뻔했고 웃기도 했고 마음도 졸이는 그런 인 영화임.,2020.10.31,1,0
1090,8,캐릭터 구성과 스토리 짜임새가 허술하지 않았음.,2020.10.31,1,0
1091,7,90대 감성과 그리고  직장에 사건들 재미있게 봤구요그리고  연기도 좋았어요또  스토리가좋았어요  재미있게 봤어요,2020.10.31,1,0
1092,10,진심 제목보고 재미없는줄알았는데배우들 연기도 좋았고 전개도 답답하지않아서 생각보다 많이 재밌는 영화임!,2020.10.31,1,0
1093,10,잘만든 재밌는 영화는 쉽게 보기  힘들다 ㅎㅎ,2020.10.31,1,0
1094,10,오늘 보고왔는데 또 보고 싶네요 좋은 영화 감사합니다,2020.10.31,1,0
1095,10,살면서 한번쯤 볼만한 영화입니다.,2020.10.31,1,0
1096,10,아이캔두잇 유캔두잇 위캔두잇!!삼진그룹뿐만아니라 한국에 모든 자영이 보람이 유나 그리고 모두들 화이팅!!!,2020.10.31,1,0
1097,10,올해 상업영화 중 가장 깔끔하다.,2020.10.31,1,0
1098,10,연기도 연출도 너무 좋았습니다,2020.10.31,1,0
1099,10,영화 재밌게 잘 봤어요.,2020.10.31,1,0
1100,10,혼영왔는데 재미 감동 다 있고 연기는 물론 좋구요.스토리도 좋아요  추천추천,2020.10.31,1,0
1101,10,존잼.감동적이다.시간가는중 모르고 봤네요~,2020.10.31,1,0
1102,9,코미디와 드라마를 적절히 섞은 수작:),2020.10.31,1,0
1103,9,"이 영화는 걸캅스 같은 억지 페미니즘 영화랑은 비교하기엔 실례인 작품입니다. 남녀를 갈라서 무조건적 선악으로 지정하지 않았고, 그저 여성들의 연대가 돋보였을 뿐. 다른 한 쪽을 무시하는 태도가 아니더라도 멋있을 수 ...",2020.10.31,1,0
1104,10,현재 상영작 중에는 최고,2020.10.31,1,0
1105,10,오랜만에 너무 좋은영화봤습니다. 추천합니다.,2020.10.31,1,0
1106,10,연기 잘하고 재밌어요 굿,2020.10.31,1,0
1107,10,준비된사람만이 능력을발휘할수있다.,2020.10.31,1,0
1108,10,90년대가 잘보여서 좋았고 뻔하지 않아 재밌었습니다.,2020.10.31,1,0
1109,10,최근에 본 영화 중에 제일 재밌게 봤어요.,2020.10.31,1,0
1110,10,오랜만의 well made movie,2020.10.31,1,0
1111,9,우리나라에서 다시는 생기지 않아야하는 대기업 환경폐기물 처리문제에 대해 경종을 울리는 시사영화였네요.좋았어요.,2020.10.31,1,0
1112,10,즐겁게 봤습니다 세 배우가 보여 준 시너지가 상당하네요,2020.10.31,1,0
1113,2,우왕 내가 42년 살면서.... 살다살다 영화보다가 중간에 나온건 처음입니다..그낣은 극장에 이영화보라온사람도 저희딱 5명!!!함께같던 지인 5명 모두 혀를차면서 중간에 나왔어요..평점 참여인원수 259명!!~~평점...,2020.10.31,1,0
1114,10,올해 봤던 영화 중에 젤 최고요 남녀불문하고 꼭 보시길!,2020.10.31,1,0
1115,10,너무너무 재밌어요 꼭 봐요,2020.10.31,1,0
1116,10,,2020.10.31,1,0
1117,8,영화보면서 생각든건데숫자좋아하던애 피오 안닮았냐,2020.10.31,1,0
1118,8,영화보는 시간동안 90년대 추억 소환되는 아련함있는 작품. 심보람 넘 귀엽.,2020.10.31,1,0
1119,10,한국 영화의 무한한 가능성을 봤습니담 ~! 헤,2020.10.31,1,0
1120,10,,2020.10.31,1,0
1121,10,세 배우 너무 매력있고 연기도 잘해요 엄마랑 같이 보러 갔는데 엄마도 저도 너무 재미있게 봤어요ㅎㅎ엄마가 상고출신 회사원이라 공감도 많이 된 것 같아요,2020.10.31,1,0
1122,10,단연코 인생 영화라고 할 수 있다. 그 시절의 분위기와 실화 두 가지를 하나로 잘 녹여냈고 그 녹여낸 이야기가 최고의 배우들을 만나 시너지를 발휘했다. 연출도 하나 하나 너무 좋았고 주연 배우 셋의 케미 또한 좋았다...,2020.10.31,1,0
1123,10,코로나만 아니였어도 흥행 가능할 작품인거같은데 너무 아쉽습니다... 정말 오~~~~랜만에 나온 좋은 한국영화였어요! 잘봤습니다!,2020.10.31,1,0
1124,10,재미씀 후회안함 굿굿 다들 보세여,2020.10.31,1,0
1125,9,,2020.10.31,1,0
1126,10,너무 공감되고 너무 좋았습니다.!!^^어느편에도 서지않고 과하지 않게 잘담았던것같아요.,2020.10.31,1,0
1127,10,올해 가장 재밌게 본 영화! 보는 내내 지루할 틈이 전혀 없었다!,2020.10.31,1,0
1128,8,보자마자 딱 떠오르는 생각~에린브로코비치+써니스토리나 연출은 딱히 큰 감동은 없는데 배우들의 연기가 뛰어나 각 캐릭터의 특징이 잘 살아있는 영화~! 볼만해요~,2020.10.31,1,0
1129,10,"담보, 도굴과 함께 2020 최고의 국내 영화 !",2020.10.31,1,0
1130,10,기대안하고봤는데 정말재밌었어요^^꼭보세요!!,2020.10.31,1,0
1131,10,최고ㅠㅠ 존잼이었습니다,2020.10.31,1,0
1132,10,,2020.10.31,1,0
1133,10,신선하고 좋았다 정말!,2020.10.31,1,0
1134,10,재밌어요~~~! 두번 보고싶은 영화 배우들 케미 대박,2020.10.31,1,0
1135,9,"배우들의 연기, 그때 그시절을 반영한 의상들과 정서가 공감되는 시간이었습니다. 시작부터 끝까지 지루함이 없어요.",2020.10.31,1,0
1136,10,"실관람객. 이거 은근 긴장. 보기 싫다던 남친도 재밌다고 잘 봤음. 요즘 직장생활을 돌아보게 됨. 웃음보단 긴장, 공감. 패션미 보는 재미!",2020.10.31,1,0
1137,8,"연출에 엄청 공들인 작품 영화적 재미를 느낄수 있는 영화, 주인공들 연기는 살짝 아쉽",2020.10.31,1,0
1138,8,타일러연기가 젤 좋은듯. ^^;;,2020.10.31,1,0
1139,10,"90년대를 잘 표현했고 무거울 수 있는 주제를 적절한 유머와 위트로 잘 버무린 영화, 세 주연배우뿐 아니라 모든 배우들의 연기가 좋았어요^^",2020.10.31,1,0
1140,7,재미있게 웃으면서 보고도 나올때는 판타지같은 이 씁쓸함...,2020.10.31,1,0
1141,10,,2020.10.31,1,0
1142,10,여운이 많이 남고 그 시대를 체험하지 못해봤지만 왠지모를 익숙함과 친근감 그리고 사회를 잘 반영해준것 같아서 좋았어용!,2020.10.31,1,0
1143,9,모처럼 영화관 가서 보고 왔는데 기대한것 보다 재밌었어요. 선과 악이 단조롭지 않고 회사 내 여러 이해관계가 얽힌 인물들이 굉장히 입체적으로 그려진 점이 정말정말 재밌었습니다. 코로나만 아니었으면 훨씬 더 흥행할 수...,2020.10.31,1,0
1144,10,진짜 너무 재미있어요 제취향이에요 배우분들 연기도 너무 마음에 들고 다들 사랑스러워요 이야기 흐름도 좋았고 결말도 좋았고 뭐 하나 빠지는게 없는 영화네요 더 흥했으면 좋겠어요,2020.10.31,1,0
1145,10,여성주연 영화라 정말 좋았어요,2020.10.31,1,0
1146,10,기대 ㅣ도없이보고 백퍼만족한 최고의영화 코로나로 흥행못할까 걱정이다 강추,2020.10.31,1,0
1147,8,,2020.10.31,1,0
1148,1,,2020.10.31,1,0
1149,10,"스토리, 배경, 배우, 연기 등 다 만족스러워요! 재밌네용ㅎㅎ",2020.10.31,1,0
1150,10,95년  그 시절이 생각난다  꼭 보세요,2020.10.31,1,0
1151,9,두 번 보고 왔습니다.처음 볼 때에는 보이지 않던 장면들이 새롭게 보였습니다.모든 면에 있어서 좋았던 영화 입니다.이 영화가 흥하기를 기원 합니다,2020.10.31,1,0
1152,10,또보러갈거에요. 배우분들 너무 귀여워요,2020.10.31,1,0
1153,10,재미있게 봤어요 연기도 잘하고  우리기업 잘 지키자 ㅋ,2020.10.31,1,0
1154,10,,2020.10.31,1,0
1155,10,올해 영화중 제일 최고! 마지막 사이다도 좋았고 재밋었어요~,2020.10.31,1,0
1156,10,너무 재미있어서 추천합니다,2020.10.31,1,0
1157,10,,2020.10.31,1,0
1158,10,오랜만에 정말 좋은 영화 봤습니다. 최고입니다ㅠㅠ,2020.10.31,1,0
1159,10,,2020.10.31,1,0
1160,10,,2020.10.31,1,0
1161,10,핸드폰공짜영화써야해서그나마이거골랐는디 예상보다재밋어서만족굳,2020.10.31,1,0
1162,10,,2020.10.31,1,0
1163,10,"정말 너무 재밌게 봤어요ㅠㅠ 올해 들어서 젤 좋았습니다!! 1초도 버릴 게 없는 영화였고, 배우들 매력에도 푹 빠졌네요 강추!!",2020.10.31,1,0
1164,10,재미있었어요~ 시간이 너무 순삭!,2020.10.31,1,0
1165,10,,2020.10.31,1,0
