,광역시도,시군구,20-39세,20-39세,20-39세,65세이상,65세이상,65세이상,인구수,인구수,인구수,소멸비율,소멸위기지역
구분,,,계,남자,여자,계,남자,여자,계,남자,여자,,
99,대구, 북구,113047.0,58645.0,54402.0,56992.0,24436.0,32556.0,425333.0,210525.0,214808.0,1.9091100505334082,False
100,대구, 서구,39397.0,21378.0,18019.0,34817.0,14890.0,19927.0,167446.0,83008.0,84438.0,1.0350690754516472,False
101,대구, 수성구,88787.0,44007.0,44780.0,60804.0,26184.0,34620.0,405234.0,195256.0,209978.0,1.4729294125386487,False
102,대구, 중구,21428.0,10513.0,10915.0,14236.0,5913.0,8323.0,72483.0,34690.0,37793.0,1.5334363585276762,False
103,대전, 대덕구,43677.0,23109.0,20568.0,24547.0,10882.0,13665.0,170822.0,85844.0,84978.0,1.6758055974253472,False
104,대전, 동구,59947.0,31476.0,28471.0,37784.0,16694.0,21090.0,221955.0,111143.0,110812.0,1.5070400169383866,False
105,대전, 서구,134767.0,67012.0,67755.0,54211.0,24315.0,29896.0,463747.0,226805.0,236942.0,2.499677187286713,False
106,대전, 유성구,103746.0,54201.0,49545.0,29084.0,13142.0,15942.0,336354.0,170005.0,166349.0,3.4070279191307935,False
107,대전, 중구,54807.0,27338.0,27469.0,41168.0,18122.0,23046.0,227181.0,110975.0,116206.0,1.3344830936649825,False
108,부산, 강서구,35490.0,17864.0,17626.0,13407.0,6272.0,7135.0,120451.0,61117.0,59334.0,2.629372715745506,False
109,부산, 금정구,59601.0,31057.0,28544.0,43238.0,19179.0,24059.0,228110.0,111149.0,116961.0,1.3203200888107682,False
110,부산, 기장군,37473.0,18592.0,18881.0,22967.0,9865.0,13102.0,154532.0,75833.0,78699.0,1.644185135193974,False
111,부산, 남구,65648.0,33356.0,32292.0,48766.0,21543.0,27223.0,262984.0,127898.0,135086.0,1.324365336504942,False
112,부산, 동구,18886.0,9723.0,9163.0,20349.0,8542.0,11807.0,81089.0,39342.0,41747.0,0.9005847953216374,True
113,부산, 동래구,61364.0,30658.0,30706.0,43883.0,19835.0,24048.0,254552.0,123015.0,131537.0,1.399448533600711,False
114,부산, 부산진구,93807.0,46027.0,47780.0,62545.0,27308.0,35237.0,339223.0,162539.0,176684.0,1.5278599408425932,False
115,부산, 북구,69489.0,35543.0,33946.0,42923.0,19248.0,23675.0,276503.0,135427.0,141076.0,1.5817160962654055,False
116,부산, 사상구,54928.0,28566.0,26362.0,33971.0,15348.0,18623.0,209051.0,104170.0,104881.0,1.5520296723676077,False
117,부산, 사하구,77401.0,40135.0,37266.0,51920.0,23347.0,28573.0,304746.0,150249.0,154497.0,1.4355161787365178,False
118,부산, 서구,23642.0,11740.0,11902.0,23618.0,10079.0,13539.0,100101.0,48104.0,51997.0,1.0078753493098485,False
119,부산, 수영구,44258.0,21608.0,22650.0,33380.0,14781.0,18599.0,164784.0,77880.0,86904.0,1.3571000599161174,False
120,부산, 연제구,50757.0,24952.0,25805.0,35307.0,15782.0,19525.0,197985.0,94732.0,103253.0,1.4617497946582831,False
121,부산, 영도구,22954.0,12337.0,10617.0,27636.0,11825.0,15811.0,109458.0,53656.0,55802.0,0.7683456361267912,True
122,부산, 중구,9289.0,4831.0,4458.0,9567.0,4061.0,5506.0,38566.0,18759.0,19807.0,0.9319535904672311,True
123,부산, 해운대구,88245.0,43106.0,45139.0,61986.0,27104.0,34882.0,379986.0,181834.0,198152.0,1.4564256445003712,False
124,서울, 강남구,140926.0,63996.0,76930.0,65713.0,29965.0,35748.0,493492.0,234001.0,259491.0,2.3413936359624428,False
125,서울, 강동구,114312.0,55997.0,58315.0,59133.0,27239.0,31894.0,403443.0,196902.0,206541.0,1.9723335531767372,False
126,서울, 강북구,78369.0,38730.0,39639.0,56516.0,24425.0,32091.0,294143.0,141759.0,152384.0,1.4027532026328828,False
127,서울, 강서구,177038.0,84638.0,92400.0,79180.0,35319.0,43861.0,559359.0,268057.0,291302.0,2.3339227077544833,False
128,서울, 관악구,186005.0,94628.0,91377.0,70663.0,31721.0,38942.0,472796.0,234870.0,237926.0,2.586275702984589,False
129,서울, 광진구,113351.0,53872.0,59479.0,44612.0,20123.0,24489.0,331747.0,159187.0,172560.0,2.666502286380346,False
130,서울, 구로구,112888.0,55180.0,57708.0,61715.0,28397.0,33318.0,386239.0,188979.0,197260.0,1.8701450214696589,False
131,서울, 금천구,67481.0,35150.0,32331.0,34691.0,15868.0,18823.0,219896.0,110152.0,109744.0,1.8639416563373785,False
132,서울, 노원구,131084.0,64427.0,66657.0,76136.0,32338.0,43798.0,504967.0,241951.0,263016.0,1.7509982137228117,False
133,서울, 도봉구,81619.0,40253.0,41366.0,55474.0,25064.0,30410.0,315032.0,152106.0,162926.0,1.4913653242960667,False
134,서울, 동대문구,103780.0,51942.0,51838.0,54777.0,24324.0,30453.0,327897.0,160582.0,167315.0,1.8926921883272176,False
135,서울, 동작구,123540.0,60304.0,63236.0,58255.0,25648.0,32607.0,374478.0,180291.0,194187.0,2.1710067805338595,False
136,서울, 마포구,118571.0,54071.0,64500.0,47926.0,20279.0,27647.0,348755.0,163126.0,185629.0,2.6916496265075325,False
137,서울, 서대문구,90833.0,42863.0,47970.0,47748.0,20369.0,27379.0,291958.0,137971.0,153987.0,2.009298818798693,False
138,서울, 서초구,108033.0,49316.0,58717.0,52440.0,24068.0,28372.0,391520.0,185921.0,205599.0,2.239397406559878,False
139,서울, 성동구,91871.0,44558.0,47313.0,40757.0,17886.0,22871.0,283330.0,137125.0,146205.0,2.3217116078219693,False
140,서울, 성북구,123727.0,59148.0,64579.0,65389.0,28490.0,36899.0,418403.0,200642.0,217761.0,1.975225190781324,False
141,서울, 송파구,190322.0,89124.0,101198.0,81962.0,38178.0,43784.0,629275.0,301491.0,327784.0,2.469388253092897,False
142,서울, 양천구,108836.0,52694.0,56142.0,57720.0,26110.0,31610.0,429819.0,208741.0,221078.0,1.9453222453222454,False
143,서울, 영등포구,113318.0,55031.0,58287.0,52455.0,23732.0,28723.0,341509.0,167114.0,174395.0,2.222362024592508,False
144,서울, 용산구,64265.0,30377.0,33888.0,32923.0,14128.0,18795.0,204196.0,97390.0,106806.0,2.0586216322935336,False
145,서울, 은평구,124564.0,59492.0,65072.0,74710.0,32511.0,42199.0,447693.0,213158.0,234535.0,1.741989024227011,False
146,서울, 종로구,40758.0,19801.0,20957.0,23700.0,10452.0,13248.0,136649.0,65594.0,71055.0,1.7685232067510548,False
147,서울, 중구,37325.0,17998.0,19327.0,19765.0,8614.0,11151.0,115665.0,55820.0,59845.0,1.955679230963825,False
148,서울, 중랑구,108476.0,53892.0,54584.0,61294.0,27655.0,33639.0,374640.0,183357.0,191283.0,1.781055241948641,False
149,세종, 세종시,93067.0,45339.0,47728.0,29227.0,12797.0,16430.0,321495.0,159457.0,162038.0,3.2660211448318335,False
150,울산, 남구,82578.0,43837.0,38741.0,34419.0,16055.0,18364.0,307294.0,155232.0,152062.0,2.251140358522909,False
151,울산, 동구,39771.0,21279.0,18492.0,17097.0,8341.0,8756.0,151207.0,77870.0,73337.0,2.1631865239515706,False
152,울산, 북구,57905.0,29875.0,28030.0,15219.0,6827.0,8392.0,205269.0,104664.0,100605.0,3.683553452920691,False
153,울산, 울주군,48404.0,25766.0,22638.0,27838.0,12364.0,15474.0,207367.0,105698.0,101669.0,1.626409943243049,False
154,울산, 중구,52459.0,27580.0,24879.0,29334.0,13355.0,15979.0,212450.0,106869.0,105581.0,1.6962569032521988,False
155,인천, 강화군,9079.0,4814.0,4265.0,19402.0,8937.0,10465.0,60622.0,30141.0,30481.0,0.4396453973817132,True
156,인천, 계양구,79401.0,39749.0,39652.0,32634.0,14413.0,18221.0,288422.0,141983.0,146439.0,2.4301035729607157,False
157,인천, 남동구,139243.0,69533.0,69710.0,62739.0,27509.0,35230.0,508503.0,250015.0,258488.0,2.2222222222222223,False
158,인천, 동구,13526.0,6977.0,6549.0,12858.0,5470.0,7388.0,60791.0,30224.0,30567.0,1.0186654223051796,False
159,인천, 미추홀구,110480.0,57892.0,52588.0,62042.0,27162.0,34880.0,391216.0,195241.0,195975.0,1.695238709261468,False
160,인천, 부평구,136229.0,68092.0,68137.0,65451.0,28574.0,36877.0,487471.0,238604.0,248867.0,2.0820766680417413,False
161,인천, 서구,144517.0,72020.0,72497.0,49718.0,22258.0,27460.0,515884.0,257587.0,258297.0,2.9163280904300253,False
162,인천, 연수구,95482.0,46737.0,48745.0,32424.0,14446.0,17978.0,345349.0,170243.0,175106.0,3.0067234147545028,False
163,인천, 옹진군,3675.0,2384.0,1291.0,4623.0,2130.0,2493.0,17746.0,9801.0,7945.0,0.5585117888816785,True
164,인천, 중구,35567.0,18303.0,17264.0,17176.0,7634.0,9542.0,123549.0,63147.0,60402.0,2.0102468560782487,False
165,전남, 강진군,4568.0,2305.0,2263.0,10775.0,4311.0,6464.0,30984.0,14729.0,16255.0,0.42004640371229696,True
166,전남, 고흥군,6823.0,3692.0,3131.0,23336.0,9493.0,13843.0,57330.0,27685.0,29645.0,0.26834076105587934,True
167,전남, 곡성군,3932.0,2159.0,1773.0,9129.0,3616.0,5513.0,25420.0,12377.0,13043.0,0.38843246795925074,True
168,전남, 광양시,32494.0,17257.0,15237.0,17573.0,7594.0,9979.0,136701.0,69766.0,66935.0,1.7341375974506346,False
169,전남, 구례군,3138.0,1609.0,1529.0,7798.0,3124.0,4674.0,22648.0,10860.0,11788.0,0.39215183380353935,True
170,전남, 나주시,24039.0,12088.0,11951.0,22275.0,9094.0,13181.0,102246.0,50367.0,51879.0,1.0730415263748596,False
171,전남, 담양군,6745.0,3535.0,3210.0,12503.0,5174.0,7329.0,39391.0,19376.0,20015.0,0.5134767655762617,True
172,전남, 목포시,50155.0,25455.0,24700.0,34227.0,14864.0,19363.0,217091.0,107238.0,109853.0,1.4433049931340753,False
173,전남, 무안군,16346.0,8459.0,7887.0,14833.0,6242.0,8591.0,73190.0,36499.0,36691.0,1.0634396278568057,False
174,전남, 보성군,4721.0,2486.0,2235.0,13817.0,5536.0,8281.0,35928.0,17253.0,18675.0,0.3235145111095028,True
175,전남, 순천시,62033.0,31329.0,30704.0,38896.0,16920.0,21976.0,258508.0,127392.0,131116.0,1.578774167009461,False
176,전남, 신안군,4625.0,2732.0,1893.0,12414.0,5198.0,7216.0,33248.0,17302.0,15946.0,0.304978250362494,True
177,전남, 여수시,57128.0,30816.0,26312.0,47866.0,21149.0,26717.0,257459.0,129856.0,127603.0,1.0994024986420423,False
178,전남, 영광군,8339.0,4318.0,4021.0,13560.0,5568.0,7992.0,46722.0,22997.0,23725.0,0.5930678466076696,True
179,전남, 영암군,9127.0,4963.0,4164.0,12694.0,5097.0,7597.0,49208.0,25034.0,24174.0,0.6560579801481015,True
180,전남, 완도군,6845.0,3818.0,3027.0,14341.0,6087.0,8254.0,44786.0,22541.0,22245.0,0.42214629384282826,True
181,전남, 장성군,6561.0,3395.0,3166.0,11511.0,4685.0,6826.0,38235.0,18789.0,19446.0,0.5500825297541482,True
182,전남, 장흥군,5138.0,2678.0,2460.0,11638.0,4621.0,7017.0,34009.0,16311.0,17698.0,0.4227530503522942,True
183,전남, 진도군,3887.0,2148.0,1739.0,9188.0,3685.0,5503.0,26956.0,13233.0,13723.0,0.3785372224640836,True
184,전남, 함평군,3847.0,2119.0,1728.0,10199.0,4109.0,6090.0,27888.0,13806.0,14082.0,0.3388567506618296,True
185,전남, 해남군,9221.0,4701.0,4520.0,19832.0,8150.0,11682.0,61147.0,29830.0,31317.0,0.45582896329164985,True
186,전남, 화순군,9692.0,4855.0,4837.0,14657.0,5779.0,8878.0,55338.0,26670.0,28668.0,0.6600259261786178,True
187,전북, 고창군,7410.0,3959.0,3451.0,16964.0,6851.0,10113.0,49705.0,24257.0,25448.0,0.4068615892478189,True
188,전북, 군산시,58341.0,30261.0,28080.0,44223.0,19452.0,24771.0,253097.0,126535.0,126562.0,1.2699274133369514,False
189,전북, 김제시,12643.0,6623.0,6020.0,23275.0,9495.0,13780.0,75211.0,36619.0,38592.0,0.5172932330827068,True
190,전북, 남원시,12442.0,6350.0,6092.0,20231.0,8295.0,11936.0,73845.0,35836.0,38009.0,0.6022440808659977,True
191,전북, 무주군,3071.0,1622.0,1449.0,7291.0,3001.0,4290.0,21857.0,10779.0,11078.0,0.39747634069400634,True
192,전북, 부안군,7273.0,3861.0,3412.0,15492.0,6425.0,9067.0,47159.0,23144.0,24015.0,0.4404854118254583,True
193,전북, 순창군,3732.0,1790.0,1942.0,8467.0,3373.0,5094.0,25304.0,12130.0,13174.0,0.45872209755521437,True
194,전북, 완주군,19047.0,9954.0,9093.0,18469.0,8028.0,10441.0,86410.0,43862.0,42548.0,0.9846770263685094,True
195,전북, 익산시,64767.0,34073.0,30694.0,49006.0,21185.0,27821.0,270779.0,134541.0,136238.0,1.2526629392319308,False
196,전북, 임실군,4078.0,2125.0,1953.0,8782.0,3657.0,5125.0,25064.0,12476.0,12588.0,0.4447734001366431,True
197,전북, 장수군,2972.0,1550.0,1422.0,6777.0,2807.0,3970.0,20084.0,9869.0,10215.0,0.4196547144754316,True
198,전북, 전주시,109972.0,55228.0,54744.0,58825.333333333336,25933.333333333332,32892.0,418674.6666666667,205014.66666666666,213660.0,1.8612389220063916,False
199,전북, 정읍시,17454.0,9102.0,8352.0,27007.0,11097.0,15910.0,99749.0,49037.0,50712.0,0.6185063131780649,True
200,전북, 진안군,3123.0,1562.0,1561.0,7722.0,3289.0,4433.0,22048.0,10926.0,11122.0,0.4042994042994043,True
201,제주, 서귀포시,34640.0,17312.0,17328.0,31129.0,13284.0,17845.0,164899.0,82173.0,82726.0,1.1133027080857079,False
202,제주, 제주시,114518.0,57226.0,57292.0,61965.0,26514.0,35451.0,458548.0,227688.0,230860.0,1.8491729201968854,False
203,충남, 계룡시,8354.0,4243.0,4111.0,4456.0,1927.0,2529.0,40062.0,19798.0,20264.0,1.845152603231598,False
204,충남, 공주시,21079.0,11002.0,10077.0,24031.0,10464.0,13567.0,98934.0,49143.0,49791.0,0.8386667221505555,True
205,충남, 금산군,8222.0,4477.0,3745.0,14314.0,6113.0,8201.0,48333.0,24142.0,24191.0,0.5232639374039402,True
206,충남, 논산시,21283.0,11224.0,10059.0,27347.0,11591.0,15756.0,109021.0,53875.0,55146.0,0.735656561962921,True
