,공원명,면적,공원주소,lat,lng
32,파리근린공원,29619.3㎥,서울특별시 양천구 목동동로 363 ,37.5349739,126.87639320000001
33,허준공원,29843.8㎡ ,서울특별시 강서구 허준로5길 42,37.5679874,126.8526745
34,궁동근린공원,126026㎡ ,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,37.5690506,126.9229851
35,궁산근린공원,135002.7㎡ ,서울특별시 강서구 가양동 산4-7,37.5735645,126.838952
36,까치산근린공원,384026㎡ ,서울특별시 동작구 사당동 산32,37.4845836,126.96407350000001
37,꿩고개근린공원,180000㎥,서울특별시 강서구 방화동 산110,37.5801585,126.8157075
38,노량진공원,416031㎡ ,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),37.510234000000004,126.928607
39,답십리근린공원,160720㎡,서울특별시 동대문구 답십리로 209(답십리공원) ,37.5750896,127.0626512
40,대모산도시자연공원,2277252㎡ ,서울특별시 강남구 광평로10길 30-71(대모산공원) ,37.4796489,127.0809639
41,탑골근린공원,19599.70㎥ ,서울특별시 종로구 종로 99,37.5710052,126.98828529999999
42,갈산근린공원,138596㎡ ,서울특별시 양천구 신정동 162-56,37.5082119,126.8689146
43,천마근린공원,185295㎥ ,서울특별시 송파구 마천동 산 1-1,37.5005173,127.1586644
44,도곡근린공원,254648㎡,서울특별시 강남구 도곡동 산31-1,37.490312700000004,127.0450338
45,도산근린공원,29816.5㎡ ,서울특별시 강남구 도산대로45길 20(도산공원),37.524675200000004,127.03502959999999
46,청량공원,762642㎡ ,서울특별시 성북구 화랑로18가길 50,37.6020055,127.0511145
47,초안산근린공원,664905㎡ ,서울특별시 도봉구 창동 산157,37.648315999999994,127.0455446
48,동명근린공원,99599.9㎡ ,서울특별시 강동구 고덕2동 229,37.5598341,127.1676703
49,마로니에공원,5802㎡ ,서울특별시 종로구 대학로8길 1,37.5802295,127.00278859999999
50,자매근린공원,총 16500㎥ ,서울특별시 영등포구 의사당대로 166 (우) 07324,37.5177329,126.9302895
51,장지근린공원,585652㎥ ,서울특별시 송파구 장지동 산 11번지,37.4957083,127.1387
52,명일근린공원,649709.6㎡ ,서울특별시 강동구 상일동 135,37.553714299999996,127.16136409999999
53,방화근린공원,72132㎡,서울특별시 강서구 금낭화로 176(방화공원),37.5819812,126.8132285
54,아시아근린공원,66027.8㎡,서울특별시 송파구 올림픽로 44 (잠실동),37.5102779,127.0762885
55,배봉산근린공원,265582㎡,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,37.5812324,127.06416229999999
56,안산도시자연공원,2088704.9㎡,서울특별시 서대문구 홍제동 산33-98,37.5798246,126.9390273
57,염창근린공원,112070㎡,서울특별시 강서구 염창동 산24-1,37.55797020000001,126.8689817
58,백련근린공원,993724㎡,서울특별시 서대문구 통일로 507-22(백련공원) ,37.587966200000004,126.92861599999999
59,오금근린공원,219167㎡ 곰두리체육센터 : 7370㎡(지하2층 지상3층) 송파도서관 : 8259㎡(지하1층 지상4층) ,서울특별시 송파구 오금로 363 오금근린공원 ,37.5038715,127.13239569999999
60,오동근린공원,1349556.4㎡ ,서울특별시 강북구 번동 산20-1,37.6327957,127.03172690000001
